as,number of aliased prefix,ratio of aliased prefix,org_name,country,category,sub_category
33760,2,0.00046,"Ashton Holmes, Sole Proprietorship",US,None,None
50902,2,0.00046,DNS0.EU A.D.,FR,Computer and Information Technology,Internet Service Provider (ISP)
3175,2,0.00046,Citytelecom LLC,RU,Computer and Information Technology,Internet Service Provider (ISP)
210852,2,0.00046,Dmitrii Vladimirovich Malkov,RU,None,None
200021,2,0.00046,Tianhong Peng,CN,None,None
38008,2,0.00046,Aperture Science Limited,HK,Other,None
211759,2,0.00046,Miku Network Technology Limited,HK,Computer and Information Technology,Internet Service Provider (ISP)
197919,2,0.00046,Noah van der Aa,NL,None,None
199974,2,0.00046,MD TECHNOLOGY LIMITED,HK,Computer and Information Technology,Software Development
40138,2,0.00046,"Mach Dilemma, LLC",US,Other,None
13213,2,0.00046,UK-2 Limited,GB,Computer and Information Technology,Hosting and Cloud Provider
22773,2,0.00046,Cox Communications Inc.,US,Computer and Information Technology,Internet Service Provider (ISP)
51126,2,0.00046,Kew Solutions Unipessoal Lda,PT,Finance and Insurance,"Investment, Portfolio Management, Pensions and Funds"
206843,2,0.00046,Jikai Ren,CN,"Media, Publishing, and Broadcasting",Online Informational Content
136620,2,0.00046,VMHaus Limited,GB,Computer and Information Technology,Internet Service Provider (ISP)
52042,2,0.00046,Kew Solutions Unipessoal Lda,PT,Construction and Real Estate,Buildings (Residential or Commercial)
202888,1,0.00023,UPSTREAM NETWORK LTD,GB,None,None
6369,1,0.00023,Netrunner Inc,US,Computer and Information Technology,Internet Service Provider (ISP)
198231,1,0.00023,SIXNET OPERATION LTD,GB,None,None
205987,1,0.00023,Adrian Paschkowski,DE,"Retail Stores, Wholesale, and E-commerce Sites",Other
205989,1,0.00023,relaxt Webdienstleistungsagentur GmbH,AT,Service,Other
43317,1,0.00023,SIA VEESP,LV,Computer and Information Technology,Internet Service Provider (ISP)
49981,1,0.00023,WorldStream B.V.,NL,Computer and Information Technology,Internet Service Provider (ISP)
52041,1,0.00023,"Scaleblade, Ltd.",GB,Computer and Information Technology,Internet Service Provider (ISP)
51259,1,0.00023,Arcus Novus UAB,LT,Manufacturing,Electronics and Computer Components
201633,1,0.00023,Perfect Sense AB,SE,Service,Other
131662,1,0.00023,Denpa Ltd.,TW,Service,"Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)"
43260,1,0.00023,DGN TEKNOLOJI A.S.,TR,Computer and Information Technology,Hosting and Cloud Provider
212168,1,0.00023,prprCloud Limited,GB,Computer and Information Technology,Hosting and Cloud Provider
30721,1,0.00023,SatGate LLC,RU,Computer and Information Technology,Internet Service Provider (ISP)
25145,1,0.00023,TEKNOTEL TELEKOMUNIKASYON SANAYI VE TICARET A.S.,TR,Computer and Information Technology,Internet Service Provider (ISP)
56434,1,0.00023,Modesco LLC,RU,Education and Research,Elementary and Secondary Schools
200393,1,0.00023,Klett IT GmbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
216435,1,0.00023,Plim Mobile Telecom LLC,US,None,None
396362,1,0.00023,"Leaseweb USA, Inc.",US,Computer and Information Technology,Internet Service Provider (ISP)
41108,1,0.00023,First Root UG (haftungsbeschraenkt),DE,Computer and Information Technology,Internet Service Provider (ISP)
15317,1,0.00023,Serverel Inc.,US,Computer and Information Technology,Internet Service Provider (ISP)
199669,1,0.00023,Okay-Telecom Ltd.,RU,Computer and Information Technology,Internet Service Provider (ISP)
47952,1,0.00023,ICT BULUT BILISIM A.S.,TR,Computer and Information Technology,None
206981,1,0.00023,Christopher Mountford,GB,Education and Research,None
203314,1,0.00023,HATS NETWORK INC.,CA,Computer and Information Technology,Internet Service Provider (ISP)
209146,1,0.00023,hosTELyon SAS,FR,Computer and Information Technology,None
151464,1,0.00023,"Shanghai Luogu Network Technology Co., Ltd.",CN,None,None
263110,1,0.00023,Louvetel Comunicação Comercial Ltda ME,BR,Computer and Information Technology,Internet Service Provider (ISP)
199614,1,0.00023,Fiberocity Ltd,GB,None,None
199465,1,0.00023,FeiYa Network LTD.,US,"Media, Publishing, and Broadcasting",Online Informational Content
61178,1,0.00023,MRGROUP INVESTMENTS LIMITED,CY,Service,"Law, Business, and Consulting Services"
210937,1,0.00023,Xiufeng Guo,DE,Computer and Information Technology,Software Development
4657,1,0.00023,Starhub Ltd.,SG,Computer and Information Technology,Internet Service Provider (ISP)
139693,1,0.00023,Free Range Cloud Hosting Inc,CA,Computer and Information Technology,Internet Service Provider (ISP)
202911,1,0.00023,PaoPaoYu Network LTD.,CA,None,None
202528,1,0.00023,Lilith Network INC.,CA,Computer and Information Technology,Internet Service Provider (ISP)
400797,1,0.00023,Ping Identity Corporation,US,Computer and Information Technology,Internet Service Provider (ISP)
6939,1,0.00023,Hurricane Electric LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
398668,1,0.00023,Skydance Productions LLC,US,"Media, Publishing, and Broadcasting",None
203283,1,0.00023,HighEndNetwork LLC,US,None,None
396319,1,0.00023,Oxylabs,US,Computer and Information Technology,Internet Service Provider (ISP)
16625,1,0.00023,"Akamai Technologies, Inc.",US,Computer and Information Technology,Computer and Network Security
4538,1,0.00023,China Education and Research Network Center,CN,Education and Research,"Colleges, Universities, and Professional Schools"
147057,1,0.00023,DNT Solutions,PK,None,None
141039,1,0.00023,TEFINCOM S.A.,PA,Computer and Information Technology,None
141173,1,0.00023,SteveYi Experiment Network,TW,Education and Research,None
141444,1,0.00023,Wicked Networks Limited,HK,Other,None
151814,1,0.00023,Baoshuo Network,CN,None,None
396113,1,0.00023,BAI Communications Inc.,CA,Computer and Information Technology,Internet Service Provider (ISP)
131910,1,0.00023,SORACOM. INC.,JP,None,None
58453,1,0.00023,China Mobile International Limited,HK,Computer and Information Technology,Internet Service Provider (ISP)
33480,1,0.00023,Web Werks,US,Computer and Information Technology,Internet Service Provider (ISP)
151407,1,0.00023,Hytron Network Services Limited,HK,None,None
150445,1,0.00023,Getechbrothers,LT,Computer and Information Technology,Internet Service Provider (ISP)
135605,1,0.00023,MOACK.Co.LTD,KR,Computer and Information Technology,None
150347,1,0.00023,Planisware Singapore Pte. Ltd,SG,Computer and Information Technology,Software Development
133375,1,0.00023,"CHUAN KAI INTERNATIONAL CO., LTD",TW,Travel and Accommodation,Other
54197,1,0.00023,TGs4 Networks Inc.,CA,None,None
36992,1,0.00023,ETISALAT MISR,EG,Computer and Information Technology,Internet Service Provider (ISP)
4788,1,0.00023,TM TECHNOLOGY SERVICES SDN BHD,MY,Computer and Information Technology,Internet Service Provider (ISP)
207487,1,0.00023,Gustav Caplan,US,"Retail Stores, Wholesale, and E-commerce Sites",Other
201626,1,0.00023,Podillia-hotel PJSC,UA,Service,"Law, Business, and Consulting Services"
201836,1,0.00023,Garant-Plus-Inform LLC,UA,Finance and Insurance,"Investment, Portfolio Management, Pensions and Funds"
394923,1,0.00023,Artfiles LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
30081,1,0.00023,"CacheNetworks, Inc.",US,Computer and Information Technology,Internet Service Provider (ISP)
43357,1,0.00023,Owl Limited,VU,Computer and Information Technology,Internet Service Provider (ISP)
15967,1,0.00023,Nazwa.pl Sp.z.o.o.,PL,Service,"Law, Business, and Consulting Services"
47447,1,0.00023,23M GmbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
64080,1,0.00023,SYN LTD,GB,Computer and Information Technology,Internet Service Provider (ISP)
60310,1,0.00023,"Nightfall Networks, LLC",US,Education and Research,Other
202990,1,0.00023,Web42 Solutions Ltd,GB,Computer and Information Technology,Hosting and Cloud Provider
197433,1,0.00023,XuanMing Liu,CN,Computer and Information Technology,Internet Service Provider (ISP)
216452,1,0.00023,Edvin Basil Samuval,IN,None,None
58339,1,0.00023,MARIA STYLE LTD,GB,"Retail Stores, Wholesale, and E-commerce Sites",None
36791,1,0.00023,Portland Internet Hosting LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
28753,1,0.00023,Leaseweb Deutschland GmbH,DE,Computer and Information Technology,None
200081,1,0.00023,Netversor GmbH,DE,Service,"Law, Business, and Consulting Services"
61323,1,0.00023,ANS ACADEMY LIMITED,GB,Computer and Information Technology,None
60703,1,0.00023,MULTIDIST SARL,FR,Computer and Information Technology,Software Development
196733,1,0.00023,Eskisehir Bilisim Iletisim San. ve Tic. A.S.,TR,Computer and Information Technology,None
202235,1,0.00023,UK On-line Agri-sales Limited,GB,Computer and Information Technology,None
201029,1,0.00023,Redge Technologies sp. z o.o.,PL,Computer and Information Technology,Internet Service Provider (ISP)
399558,1,0.00023,Differ Communications Limited,CA,Construction and Real Estate,None
51430,1,0.00023,AltusHost B.V.,NL,Computer and Information Technology,Internet Service Provider (ISP)
196968,1,0.00023,Ilm-Provider UG (haftungsbeschraenkt),DE,Computer and Information Technology,Internet Service Provider (ISP)
30811,1,0.00023,Optimizely AB,SE,Computer and Information Technology,Other
28573,1,0.00023,Claro NXT Telecomunicacoes Ltda,BR,Computer and Information Technology,Internet Service Provider (ISP)
266732,1,0.00023,FIBERTEL PERU S.A.,PE,Computer and Information Technology,Internet Service Provider (ISP)
271991,1,0.00023,RODRIGUEZ PEDRO ALBERTO JUAN,AR,None,None
23145,1,0.00023,IBM,US,Manufacturing,Electronics and Computer Components
25923,1,0.00023,"ChoicePoint, Inc.",US,Computer and Information Technology,Software Development
399358,1,0.00023,"Anthropic, PBC",US,None,None
209181,1,0.00023,Zenex 5ive Limited,GB,Computer and Information Technology,Internet Service Provider (ISP)
63213,1,0.00023,Astute Internet,CA,Computer and Information Technology,Internet Service Provider (ISP)
55081,1,0.00023,24 SHELLS,US,Computer and Information Technology,Internet Service Provider (ISP)
47720,1,0.00023,CORK INTERNET EXCHANGE LIMITED,IE,Computer and Information Technology,Internet Service Provider (ISP)
133480,1,0.00023,Intergrid Group Pty Ltd,AU,Computer and Information Technology,Internet Service Provider (ISP)
211051,1,0.00023,Dazhong Technology Network Studio of Tieling County,CN,None,None
